Test #,Write Times,Read Times
0,3.98367,0.084317
1,4.67896,0.0839828
2,5.22155,0.087831
3,5.19295,0.0876053
4,5.15424,0.0858593
5,4.65733,0.0810184
6,6.30848,0.0793469
7,5.75068,0.08317
8,4.54608,0.0844165
9,4.5343,0.0771291
10,4.52342,0.077123
11,5.06554,0.0895585
12,4.5764,0.0777421
13,5.24232,0.0726595
14,5.16639,0.0772518
,Avg = 4.973487333333335,Avg = 0.08193408
,stderr = 0.14717663717441115,stderr = 0.004908604494034649
,       = 2.9592241280681075 %,       = 1.5468486746512218 %
