Test #,Write Times,Read Times
0,3.32036,0.00519959
1,5.04523,0.0039192
2,4.23148,0.00451569
3,4.22877,0.00426873
4,5.63127,0.00395942
5,4.25657,0.0040379
6,4.18498,0.00425917
7,4.24822,0.00371148
8,4.17992,0.00579794
9,4.20493,0.00403237
10,4.1897,0.00418124
11,6.23489,0.00457514
12,4.21199,0.00398332
13,4.21962,0.00426897
14,4.27017,0.00537303
15,4.3189,0.00445673
16,4.28289,0.00453195
17,4.28789,0.00439738
18,6.28031,0.0036579
19,4.24458,0.00445045
20,4.17679,0.00383872
21,4.2523,0.00455554
22,4.19007,0.00380628
23,4.17046,0.00453715
24,4.19709,0.00426264
25,6.25274,0.00373752
26,4.17771,0.00441535
27,4.19095,0.00430469
28,4.21934,0.00464574
29,4.18309,0.00432039
,Avg = 4.469440333333334,Avg = 0.004333387333333333
,stderr = 0.12726453572195556,stderr = 0.00048104971373268563
,       = 2.8474378497193396 %,       = 2.0267576626567774 %
